"","id","site","sex","age","viewcat","setting","viewenc","prebody","prelet","preform","prenumb","prerelat","preclasf","postbody","postlet","postform","postnumb","postrelat","postclasf","peabody","agecat","encour","regular","improvelet","improveform","improvenumb","improverelat","improveclasf","improvebody"
"33",33,1,1,55,3,0,0,31,15,17,45,16,24,32,43,18,46,13,21,62,1,1,1,28,1,1,-3,-3,1
"34",34,1,1,42,3,0,0,23,11,7,15,6,7,29,27,14,33,9,19,58,0,1,1,16,7,18,3,12,6
"35",35,1,0,50,4,0,0,18,17,12,28,12,17,29,41,15,48,12,22,55,0,1,1,24,3,20,0,5,11
"36",36,1,0,58,2,0,0,13,12,6,10,6,11,29,23,11,27,8,10,33,1,1,1,11,5,17,2,-1,16
"37",37,1,1,59,3,0,1,27,7,13,23,12,10,32,39,18,49,16,19,55,1,0,1,32,5,26,4,9,5
"38",38,1,1,36,1,0,1,11,12,9,5,5,3,12,12,6,13,9,6,27,0,0,0,0,-3,8,4,3,1
"39",39,1,0,51,2,0,0,32,16,16,34,15,17,21,17,6,21,8,12,62,0,1,1,1,-10,-13,-7,-5,-11
"40",40,1,0,51,2,0,0,31,18,13,33,15,14,21,16,11,7,9,11,58,0,1,1,-2,-2,-26,-6,-3,-10
"41",41,1,0,48,3,0,0,13,14,8,8,10,11,21,22,10,28,8,19,34,0,1,1,8,2,20,-2,8,8
"42",42,1,0,43,2,0,0,17,13,14,13,11,14,24,19,12,22,11,20,32,0,1,1,6,-2,9,0,6,7
"43",43,1,1,35,3,0,1,23,12,8,9,5,5,29,11,8,9,11,11,32,0,0,1,-1,0,0,6,6,6
"44",44,1,1,36,1,0,1,11,2,6,5,2,4,21,6,11,6,6,7,28,0,0,0,4,5,1,4,3,10
"45",45,1,1,39,2,0,1,20,18,6,4,4,6,19,8,11,22,10,10,29,0,0,1,-10,5,18,6,4,-1
"46",46,1,0,45,4,0,1,14,13,9,16,9,12,29,48,17,48,14,19,35,0,0,1,35,8,32,5,7,15
"47",47,1,0,58,3,0,1,30,38,15,45,14,18,32,48,19,46,14,23,67,1,0,1,10,4,1,0,5,2
"48",48,1,1,38,3,0,0,13,10,7,8,5,7,26,36,14,20,10,16,29,0,1,1,26,7,12,5,9,13
"49",49,1,1,57,4,0,0,26,15,11,22,10,15,24,20,18,28,12,18,35,1,1,1,5,7,6,2,3,-2
"50",50,1,0,49,3,0,1,26,35,10,47,13,17,26,13,7,12,11,14,67,0,0,1,-22,-3,-35,-2,-3,0
"51",51,1,0,55,1,1,1,24,11,10,18,8,10,20,10,14,23,10,10,39,1,0,0,-1,4,5,2,0,-4
"52",52,1,1,44,4,1,1,25,39,18,41,9,21,30,47,20,50,11,23,90,0,0,1,8,2,9,2,2,5
"53",53,1,0,56,1,1,1,13,11,6,15,10,11,15,13,9,13,10,6,46,1,0,0,2,3,-2,0,-5,2
"54",54,1,1,48,2,1,1,17,11,9,14,8,9,26,32,15,27,11,11,39,0,0,1,21,6,13,3,2,9
"55",55,1,0,50,2,1,1,16,10,8,9,7,6,21,15,17,17,12,15,34,0,0,1,5,9,8,5,9,5
"56",56,1,0,52,1,1,1,16,15,6,13,11,13,19,14,14,18,7,16,38,1,0,0,-1,8,5,-4,3,3
"57",57,1,1,51,2,1,0,24,14,10,20,10,17,28,21,17,36,17,17,34,0,1,1,7,7,16,9,0,4
"58",58,1,1,58,1,1,1,25,17,17,23,14,15,25,16,19,28,4,20,37,1,0,0,-1,2,5,-10,5,0
"59",59,1,1,48,3,1,1,13,10,10,13,9,7,27,15,14,23,11,12,33,0,0,1,5,4,10,2,5,14
"60",60,1,0,54,4,1,1,16,13,10,10,9,7,19,20,14,19,12,11,36,1,0,1,7,4,9,3,4,3
"61",61,2,0,52,4,1,1,20,35,15,21,8,20,27,48,19,47,15,22,49,1,0,1,13,4,26,7,2,7
"62",62,2,1,48,1,1,1,20,12,11,13,7,11,28,19,17,17,11,17,53,0,0,0,7,6,4,4,6,8
"63",63,2,0,55,4,1,1,28,13,10,29,11,12,30,31,19,45,15,22,65,1,0,1,18,9,16,4,10,2
"64",64,2,0,55,2,1,1,23,16,5,32,10,13,28,28,15,46,13,17,55,1,0,1,12,10,14,3,4,5
"65",65,2,1,55,2,0,1,30,27,11,39,12,17,32,40,19,52,17,23,85,1,0,1,13,8,13,5,6,2
"66",66,2,1,56,1,0,0,26,18,10,30,12,9,29,46,13,44,13,17,43,1,1,0,28,3,14,1,8,3
"67",67,2,1,50,3,1,0,31,15,10,24,11,20,31,43,18,52,14,23,65,0,1,1,28,8,28,3,3,0
"68",68,2,0,51,3,1,0,28,19,14,37,13,15,32,47,19,48,15,22,75,0,1,1,28,5,11,2,7,4
"69",69,2,0,58,3,1,1,30,14,17,37,13,20,28,38,15,36,16,18,85,1,0,1,24,-2,-1,3,-2,-2
"70",70,2,1,55,4,1,1,27,10,10,12,14,16,31,42,16,31,13,20,40,1,0,1,32,6,19,-1,4,4
"71",71,2,1,41,4,0,1,24,22,14,42,14,21,30,49,19,50,14,22,58,0,0,1,27,5,8,0,1,6
"72",72,2,1,51,4,0,1,20,13,11,22,11,15,27,17,11,20,14,14,42,0,0,1,4,0,-2,3,-1,7
"73",73,2,0,52,4,1,0,29,13,9,18,10,10,30,23,17,28,12,17,69,1,1,1,10,8,10,2,7,1
"74",74,2,1,54,3,1,0,30,26,13,23,10,17,32,42,12,37,12,19,58,1,1,1,16,-1,14,2,2,2
"75",75,2,0,47,4,0,0,19,12,11,16,11,12,28,43,18,38,14,17,37,0,1,1,31,7,22,3,5,9
"76",76,2,0,50,4,0,0,31,30,15,47,15,19,23,48,19,49,13,20,62,0,1,1,18,4,2,-2,1,-8
"77",77,2,1,55,4,0,0,31,13,18,39,15,24,31,51,19,50,14,23,99,1,1,1,38,1,11,-1,-1,0
"78",78,2,0,50,3,1,0,32,27,13,29,13,12,31,45,19,53,16,23,75,0,1,1,18,6,24,3,11,-1
"79",79,2,1,57,2,1,0,31,19,14,36,13,11,32,50,17,47,15,22,82,1,1,1,31,3,11,2,11,1
"80",80,2,1,55,4,0,1,20,12,9,16,11,18,30,30,14,18,12,16,47,1,0,1,18,5,2,1,-2,10
"81",81,2,1,55,4,0,1,26,14,8,24,13,12,30,45,19,43,15,24,62,1,0,1,31,11,19,2,12,4
"82",82,2,0,50,3,1,0,30,44,15,45,12,11,32,53,19,52,15,23,67,0,1,1,9,4,7,3,12,2
"83",83,2,0,52,3,1,0,26,13,11,34,12,12,30,45,17,43,13,21,40,1,1,1,32,6,9,1,9,4
"84",84,2,1,45,2,1,0,28,12,9,16,7,8,28,21,14,32,9,17,41,0,1,1,9,5,16,2,9,0
"85",85,2,1,52,3,1,0,24,14,8,18,8,7,28,43,12,41,13,15,56,1,1,1,29,4,23,5,8,4
"86",86,2,0,53,4,0,0,26,17,15,32,13,16,27,37,15,31,14,23,73,1,1,1,20,0,-1,1,7,1
"87",87,2,1,53,4,1,1,29,10,17,23,13,15,32,51,19,48,16,21,85,1,0,1,41,2,25,3,6,3
"88",88,2,1,53,2,1,1,23,12,12,15,11,17,28,20,15,19,8,19,59,1,0,1,8,3,4,-3,2,5
"89",89,2,1,56,3,0,1,28,29,11,43,13,22,31,32,15,40,15,21,58,1,0,1,3,4,-3,2,-1,3
"90",90,2,1,54,4,1,1,32,46,15,48,13,21,32,51,19,50,16,23,92,1,0,1,5,4,2,3,2,0
"91",91,2,0,50,2,1,0,22,17,8,18,12,14,25,16,14,32,14,17,69,0,1,1,-1,6,14,2,3,3
"92",92,2,0,50,3,0,0,29,25,14,35,15,20,26,36,16,31,8,15,56,0,1,1,11,2,-4,-7,-5,-3
"93",93,2,1,53,4,0,0,25,17,12,30,13,17,29,40,17,40,13,22,78,1,1,1,23,5,10,0,5,4
"94",94,2,0,45,4,0,0,21,16,12,15,11,17,29,36,19,29,10,16,58,0,1,1,20,7,14,-1,-1,8
"95",95,2,1,56,4,0,0,32,22,15,32,11,13,31,46,20,51,14,24,78,1,1,1,24,5,19,3,11,-1
"96",96,2,0,53,3,0,0,31,14,16,29,11,17,32,43,19,42,13,22,67,1,1,1,29,3,13,2,5,1
"97",97,2,1,46,4,0,0,22,28,14,20,5,15,32,42,13,29,15,18,69,0,1,1,14,-1,9,10,3,10
"98",98,2,1,46,2,0,1,30,18,14,23,11,11,29,33,13,36,8,16,53,0,0,1,15,-1,13,-3,5,-1
"99",99,2,0,50,3,0,1,18,13,8,14,11,12,19,23,11,31,12,17,55,0,0,1,10,3,17,1,5,1
"100",0,2,1,47,1,0,1,17,10,5,11,8,7,18,19,9,8,10,13,53,0,0,0,9,4,-3,2,6,1
"101",101,2,0,56,2,1,0,27,11,15,22,13,14,30,47,20,45,15,24,67,1,1,1,36,5,23,2,10,3
"102",102,2,1,46,3,0,0,27,13,13,22,12,13,28,36,17,46,11,20,62,0,1,1,23,4,24,-1,7,1
"103",103,2,1,45,4,0,0,21,23,14,27,13,20,31,48,19,44,11,24,59,0,1,1,25,5,17,-2,4,10
"104",104,2,1,46,4,0,0,19,17,4,19,10,13,28,36,16,29,10,15,46,0,1,1,19,12,10,0,2,9
"105",105,2,1,47,3,0,0,31,9,14,24,11,16,32,42,17,42,11,20,58,0,1,1,33,3,18,0,4,1
"106",106,2,0,52,2,1,0,26,16,12,30,14,16,27,29,20,41,15,21,92,1,1,1,13,8,11,1,5,1
"107",107,2,1,52,4,1,0,24,15,12,30,14,14,31,45,18,49,13,23,48,1,1,1,30,6,19,-1,9,7
"108",108,2,0,56,2,0,0,21,22,12,25,12,15,29,37,14,46,14,18,65,1,1,1,15,2,21,2,3,8
"109",109,2,0,48,4,0,0,28,22,13,19,11,8,32,48,18,43,15,19,67,0,1,1,26,5,24,4,11,4
"110",110,2,0,49,3,0,0,25,16,13,18,15,15,27,48,13,45,15,18,59,0,1,1,32,0,27,0,3,2
"111",111,2,1,55,4,1,0,32,8,13,23,11,17,29,35,18,36,11,19,39,1,1,1,27,5,13,0,2,-3
"112",112,2,1,45,3,0,0,22,15,12,20,9,14,25,21,15,21,9,16,47,0,1,1,6,3,1,0,2,3
"113",113,2,0,45,3,0,0,32,16,14,30,11,17,25,26,17,39,13,19,51,0,1,1,10,3,9,2,2,-7
"114",114,2,1,48,4,0,0,31,6,8,13,7,13,29,32,15,23,7,16,43,0,1,1,26,7,10,0,3,-2
"115",115,2,0,58,1,0,1,19,14,12,23,11,10,28,15,10,34,11,7,65,1,0,0,1,-2,11,0,-3,9
"116",116,3,0,55,2,0,0,20,16,7,14,9,9,21,11,13,20,13,13,39,1,1,1,-5,6,6,4,4,1
"117",117,3,1,48,1,0,1,20,15,5,13,8,7,21,14,3,17,10,7,33,0,0,0,-1,-2,4,2,0,1
"118",118,3,1,52,3,0,0,14,6,3,9,4,8,18,19,20,18,12,20,34,1,1,1,13,17,9,8,12,4
"119",119,3,1,58,1,0,0,20,11,5,25,9,7,26,16,10,23,12,12,35,1,1,0,5,5,-2,3,5,6
"120",120,3,0,50,3,1,1,13,12,5,11,10,9,21,18,10,19,10,9,32,0,0,1,6,5,8,0,0,8
"121",121,3,0,58,3,1,1,22,19,11,35,10,17,23,44,18,46,13,19,44,1,0,1,25,7,11,3,2,1
"122",122,3,1,49,4,1,1,14,13,7,5,5,7,17,16,12,19,12,15,31,0,0,1,3,5,14,7,8,3
"123",123,3,0,56,4,1,1,24,17,9,16,11,10,29,35,17,40,14,19,44,1,0,1,18,8,24,3,9,5
"124",124,3,0,50,1,0,1,7,14,4,10,5,5,19,15,13,14,13,17,27,0,0,0,1,9,4,8,12,12
"125",125,3,1,49,1,0,0,20,18,3,14,6,6,11,12,6,8,9,5,29,0,1,0,-6,3,-6,3,-1,-9
"126",126,3,0,46,2,0,0,15,14,8,23,14,12,25,18,14,30,12,16,47,0,1,1,4,6,7,-2,4,10
"127",127,3,0,57,2,0,0,26,14,9,23,15,9,28,15,14,24,12,9,35,1,1,1,1,5,1,-3,0,2
"128",128,3,0,44,1,1,1,12,9,7,14,9,14,13,13,7,17,9,7,32,0,0,0,4,0,3,0,-7,1
"129",129,3,1,41,2,1,1,16,14,9,10,11,9,22,17,9,23,8,13,36,0,0,1,3,0,13,-3,4,6
"130",130,3,1,58,4,1,0,17,9,11,28,8,13,29,13,12,29,12,15,38,1,1,1,4,1,1,4,2,12
"131",131,3,1,60,4,1,0,31,19,11,27,11,16,31,31,17,38,13,22,42,1,1,1,12,6,11,2,6,0
"132",132,3,1,40,2,0,0,12,14,3,17,6,6,16,13,6,17,10,9,27,0,1,1,-1,3,0,4,3,4
"133",133,3,1,37,2,0,0,7,4,6,4,5,4,13,13,6,14,9,11,60,0,1,1,9,0,10,4,7,6
"134",134,3,0,45,1,0,0,12,5,5,9,7,7,15,13,12,20,12,11,28,0,1,0,8,7,11,5,4,3
"135",135,3,0,60,3,0,0,17,18,9,14,7,6,32,36,13,32,13,12,33,1,1,1,18,4,18,6,6,15
"136",136,3,0,52,2,0,1,18,13,9,24,10,16,25,15,12,26,11,10,55,1,0,1,2,3,2,1,-6,7
"137",137,3,1,46,4,0,0,20,12,4,17,8,8,28,22,17,38,14,20,29,0,1,1,10,13,21,6,12,8
"138",138,3,1,60,4,0,0,23,16,9,25,11,14,29,26,17,38,16,22,46,1,1,1,10,8,13,5,8,6
"139",139,3,0,60,3,0,0,17,11,10,15,10,14,11,13,7,16,9,13,33,1,1,1,2,-3,1,-1,-1,-6
"140",140,3,0,59,3,0,0,7,16,11,10,6,10,15,14,9,14,8,10,32,1,1,1,-2,-2,4,2,0,8
"141",141,3,1,52,3,0,0,29,20,8,37,13,13,28,46,12,42,13,15,47,1,1,1,26,4,5,0,2,-1
"142",142,3,0,60,3,0,0,29,13,12,17,12,16,29,25,17,32,13,19,90,1,1,1,12,5,15,1,3,0
"143",143,3,1,56,2,0,0,21,12,12,17,9,14,23,26,16,34,10,20,61,1,1,1,14,4,17,1,6,2
"144",144,3,1,54,2,1,1,18,28,9,14,12,16,27,42,18,37,11,15,36,1,0,1,14,9,23,-1,-1,9
"145",145,3,1,61,3,0,0,13,12,8,16,7,11,28,15,15,18,7,15,35,1,1,1,3,7,2,0,4,15
"146",146,3,1,61,3,0,0,29,18,12,22,11,14,30,25,17,39,13,19,48,1,1,1,7,5,17,2,5,1
"147",147,3,1,51,3,0,0,17,15,5,11,10,11,32,43,14,44,15,21,35,0,1,1,28,9,33,5,10,15
"148",148,3,0,49,4,1,0,19,17,7,16,3,6,27,27,18,43,15,20,35,0,1,1,10,11,27,12,14,8
"149",149,3,0,52,2,0,0,22,13,10,20,11,14,22,14,9,21,9,7,35,1,1,1,1,-1,1,-2,-7,0
"150",150,3,1,55,3,1,0,25,13,12,16,10,14,26,17,6,31,13,9,35,1,1,1,4,-6,15,3,-5,1
"151",151,3,1,60,4,1,0,28,10,10,22,12,15,28,15,15,30,11,17,45,1,1,1,5,5,8,-1,2,0
"152",152,3,1,43,1,1,1,14,9,5,15,5,6,16,16,12,14,10,14,33,0,0,0,7,7,-1,5,8,2
"153",153,3,0,55,3,1,0,14,7,9,15,9,12,18,15,16,22,11,16,42,1,1,1,8,7,7,2,4,4
"154",154,3,1,52,4,1,0,18,11,9,15,8,12,23,23,15,40,13,18,32,1,1,1,12,6,25,5,6,5
"155",155,3,1,56,1,1,0,26,24,13,25,9,10,17,7,3,13,6,5,40,1,1,0,-17,-10,-12,-3,-5,-9
"156",156,3,0,56,4,0,0,24,11,11,28,14,17,27,14,15,40,12,21,42,1,1,1,3,4,12,-2,4,3
"157",157,3,1,47,2,0,0,20,19,9,25,12,8,26,24,13,35,11,17,46,0,1,1,5,4,10,-1,9,6
"158",158,3,1,56,2,0,0,17,18,8,17,5,9,24,17,10,19,10,15,39,1,1,1,-1,2,2,5,6,7
"159",159,3,1,52,3,0,0,28,15,13,27,9,15,31,16,16,22,12,18,69,1,1,1,1,3,-5,3,3,3
"160",160,3,1,51,4,0,0,23,14,11,23,8,11,31,37,17,42,14,18,36,0,1,1,23,6,19,6,7,8
"161",161,3,0,51,1,0,0,7,13,6,11,7,6,12,8,14,22,10,16,35,0,1,0,-5,8,11,3,10,5
"162",162,3,1,53,3,0,0,15,15,8,18,8,11,29,32,12,28,10,14,34,1,1,1,17,4,10,2,3,14
"163",163,3,0,50,4,0,0,26,11,14,23,10,11,32,22,16,40,14,17,32,0,1,1,11,2,17,4,6,13
"164",164,3,1,59,4,0,0,16,10,8,21,9,12,25,22,14,31,10,18,38,1,1,1,12,6,10,1,6,9
"165",165,3,0,53,3,0,0,14,12,7,9,9,5,22,28,9,30,9,10,32,1,1,1,16,2,21,0,5,8
"166",166,3,0,55,3,0,0,15,10,7,9,6,11,24,20,14,27,9,9,34,1,1,1,10,7,18,3,-2,9
"167",167,3,0,57,1,0,0,6,13,2,8,7,7,18,6,4,0,1,4,35,1,1,0,-7,2,-8,-6,-3,12
"168",168,3,0,58,2,0,0,16,5,5,8,6,9,13,14,11,11,9,16,34,1,1,1,9,6,3,3,7,-3
"169",169,3,0,44,3,0,0,10,12,4,9,10,11,13,15,3,8,3,5,28,0,1,1,3,-1,-1,-7,-6,3
"170",170,3,0,39,1,0,1,14,12,4,5,7,5,13,11,8,19,10,8,29,0,0,0,-1,4,14,3,3,-1
"171",171,3,0,53,4,1,0,21,17,12,16,10,13,27,20,14,29,15,16,37,1,1,1,3,2,13,5,3,6
"172",172,3,1,52,4,0,0,23,10,9,9,7,6,21,16,11,20,9,9,32,1,1,1,6,2,11,2,3,-2
"173",173,3,0,57,3,0,1,25,11,10,19,11,13,28,29,20,25,16,19,35,1,0,1,18,10,6,5,6,3
"174",174,3,1,40,3,0,0,11,10,7,14,4,8,16,22,11,21,9,9,35,0,1,1,12,4,7,5,1,5
"175",175,3,1,47,2,0,0,16,13,7,7,6,9,22,13,4,18,11,9,32,0,1,1,0,-3,11,5,0,6
"176",176,3,0,51,2,0,0,25,19,11,24,12,8,26,20,15,24,11,13,47,0,1,1,1,4,0,-1,5,1
"177",177,3,0,48,2,0,0,11,7,4,14,3,13,11,12,8,27,11,10,35,0,1,1,5,4,13,8,-3,0
"178",178,3,1,49,1,0,1,15,16,6,9,4,7,20,16,7,17,10,5,35,0,0,0,0,1,8,6,-2,5
"179",179,3,0,50,2,0,0,12,8,5,17,8,10,18,19,12,13,12,17,30,0,1,1,11,7,-4,4,7,6
"180",180,4,1,53,1,1,1,10,13,4,13,7,8,19,16,9,16,7,11,35,1,0,0,3,5,3,0,3,9
"181",181,4,1,52,1,1,1,13,15,8,19,8,9,21,11,8,16,7,11,39,1,0,0,-4,0,-3,-1,2,8
"182",182,4,0,51,1,1,1,19,12,9,17,8,12,27,16,12,27,11,16,39,0,0,0,4,3,10,3,4,8
"183",183,4,0,52,1,1,1,20,16,12,22,11,17,25,19,14,26,11,15,36,1,0,0,3,2,4,0,-2,5
"184",184,4,0,46,1,1,1,13,3,3,1,4,4,24,11,10,13,11,13,27,0,0,0,8,7,12,7,9,11
"185",185,4,1,51,1,1,1,21,19,12,25,13,14,24,15,11,25,8,14,45,0,0,0,-4,-1,0,-5,0,3
"186",186,4,1,47,1,1,1,19,12,13,27,8,11,24,14,15,21,7,13,28,0,0,0,2,2,-6,-1,2,5
"187",187,4,1,51,3,1,0,25,13,12,21,12,16,31,16,15,25,11,18,40,0,1,1,3,3,4,-1,2,6
"188",188,4,1,54,1,1,0,8,20,5,8,7,6,14,13,11,11,8,10,47,1,1,0,-7,6,3,1,4,6
"189",189,4,1,54,2,1,0,12,4,9,4,7,6,17,13,10,12,9,8,36,1,1,1,9,1,8,2,2,5
"190",190,4,0,57,2,1,0,24,11,10,28,12,11,30,24,18,26,14,16,39,1,1,1,13,8,-2,2,5,6
"191",191,4,0,53,2,1,0,17,12,8,9,5,11,26,13,11,20,10,15,39,1,1,1,1,3,11,5,4,9
"192",192,4,1,50,2,1,0,20,16,8,18,9,13,28,25,15,15,9,12,43,0,1,1,9,7,-3,0,-1,8
"193",193,4,1,57,1,1,1,28,23,16,33,14,11,26,25,16,42,14,11,69,1,0,0,2,0,9,0,0,-2
"194",194,4,1,58,1,1,1,31,30,12,44,14,17,32,43,16,44,11,13,69,1,0,0,13,4,0,-3,-4,1
"195",195,4,1,58,1,1,1,28,29,9,33,14,8,29,44,9,44,15,10,38,1,0,0,15,0,11,1,2,1
"196",196,4,1,53,1,1,1,19,19,14,24,11,16,21,13,9,31,10,16,39,1,0,0,-6,-5,7,-1,0,2
"197",197,4,1,49,1,1,1,20,17,7,13,9,10,30,15,6,21,10,9,30,0,0,0,-2,-1,8,1,-1,10
"198",198,4,1,51,1,1,1,10,1,2,2,4,0,13,0,0,0,0,0,34,0,0,0,-1,-2,-2,-4,0,3
"199",199,4,0,58,1,1,1,22,13,9,13,10,9,18,18,11,13,11,8,36,1,0,0,5,2,0,1,-1,-4
"200",200,4,1,51,1,1,1,18,12,4,10,5,9,17,10,8,14,5,10,48,0,0,0,-2,4,4,0,1,-1
"201",201,4,1,53,1,1,1,21,17,9,18,9,11,28,15,9,19,12,9,49,1,0,0,-2,0,1,3,-2,7
"202",202,4,1,56,3,1,0,29,17,17,32,10,20,30,33,17,38,12,20,49,1,1,1,16,0,6,2,0,1
"203",203,4,1,51,3,0,0,19,11,10,19,8,7,22,19,11,39,11,21,37,0,1,1,8,1,20,3,14,3
"204",204,4,0,47,1,0,0,23,12,11,14,11,13,29,15,13,22,14,16,45,0,1,0,3,2,8,3,3,6
"205",205,4,1,54,4,0,0,23,14,12,23,8,15,28,41,16,35,16,22,46,1,1,1,27,4,12,8,7,5
"206",206,4,0,54,4,0,0,17,15,6,15,4,11,24,30,13,42,17,20,32,1,1,1,15,7,27,13,9,7
"207",207,4,1,46,1,0,0,22,14,7,15,3,14,29,24,18,36,13,23,30,0,1,0,10,11,21,10,9,7
"208",208,4,1,52,2,0,0,20,15,14,19,5,13,27,45,16,38,17,22,35,1,1,1,30,2,19,12,9,7
"209",209,4,1,48,1,0,0,24,18,5,21,9,11,23,17,10,16,15,9,36,0,1,0,-1,5,-5,6,-2,-1
"210",210,4,0,49,2,0,1,17,21,7,23,9,4,13,14,13,35,15,13,45,0,0,1,-7,6,12,6,9,-4
"211",211,4,0,58,1,0,1,14,7,3,17,13,6,22,15,11,23,13,9,59,1,0,0,8,8,6,0,3,8
"212",212,4,0,46,3,0,1,18,13,10,11,7,9,22,14,13,23,10,13,42,0,0,1,1,3,12,3,4,4
"213",213,4,0,57,1,0,1,27,19,11,20,10,15,27,19,8,29,23,11,41,1,0,0,0,-3,9,13,-4,0
"214",214,4,0,48,4,0,1,27,12,15,23,11,16,27,17,13,27,13,10,39,0,0,1,5,-2,4,2,-6,0
"215",215,4,1,52,2,0,1,23,8,9,16,12,8,20,16,13,23,10,12,94,1,0,1,8,4,7,-2,4,-3
"216",216,4,0,57,2,0,0,29,17,12,24,12,16,31,32,12,17,9,10,55,1,1,1,15,0,-7,-3,-6,2
"217",217,4,0,46,3,0,0,18,9,10,12,9,14,24,18,11,13,8,10,28,0,1,1,9,1,1,-1,-4,6
"218",218,4,0,55,2,0,0,14,12,8,14,11,11,27,40,18,35,16,21,32,1,1,1,28,10,21,5,10,13
"219",219,4,0,44,3,0,0,8,11,6,10,6,9,31,23,15,18,10,13,28,0,1,1,12,9,8,4,4,23
"220",220,4,0,56,1,1,1,26,15,12,29,11,12,25,23,13,40,12,16,59,1,0,0,8,1,11,1,4,-1
"221",221,4,1,44,2,0,0,14,14,12,10,10,12,25,23,16,26,13,12,27,0,1,1,9,4,16,3,0,11
